date,title,url,publication,description,tags
12/28/14,Prying Eyes: Inside the NSA's War on Internet Security,http://www.spiegel.de/international/germany/inside-the-nsa-s-war-on-internet-security-a-1010361.html,Der Spiegel,"US and British intelligence agencies undertake every effort imaginable to crack all types of encrypted Internet communication. The cloud, it seems, is full of holes. The good news: New Snowden documents show that some forms of encryption still cause problems for the NSA.","Edward Snowden, Big Data, GCHQ, NSA, International, Germany, NSA Spying Scandal, National Security Agency, Government Communications Headquarters, Data Protection"
12/28/14,"NSA Documents: Attacks on VPN, SSL, TLS, SSH, Tor",http://www.spiegel.de/international/world/nsa-documents-attacks-on-vpn-ssl-tls-ssh-tor-a-1010525.html,Der Spiegel,,"International, World, NSA Spying Scandal"
12/28/14,Guide for Analysts on how to use the PRISM Skype Collection,http://www.spiegel.de/media/media-35530.pdf,Der Spiegel,rawfile,
12/28/14,GCHQ Briefing on the BULLRUN Program,http://www.spiegel.de/media/media-35531.pdf,Der Spiegel,rawfile,
12/28/14,GCHQ Presentation on the BULLRUN Programs Decryption Capabilities,http://www.spiegel.de/media/media-35532.pdf,Der Spiegel,rawfile,
12/28/14,NSA LONGHAUL program for end-to-end attack orchestration and key recovery service,http://www.spiegel.de/media/media-35533.pdf,Der Spiegel,rawfile,
12/28/14,"BLUESNORT program on ""Net Defense"" from Encrypted Communications",http://www.spiegel.de/media/media-35534.pdf,Der Spiegel,rawfile,
12/28/14,Presentation from the SIGDEV Conference 2012 explaining which encryption protocols and techniques can be attacked and which not,http://www.spiegel.de/media/media-35535.pdf,Der Spiegel,rawfile,
12/28/14,NSA program SCARLETFEVER explaining how attacks on encrypted connections are orchestrated,http://www.spiegel.de/media/media-35536.pdf,Der Spiegel,rawfile,
12/28/14,Description of VOIP Telephony Encryption methods and cryptanalytic and other ways to attack,http://www.spiegel.de/media/media-35537.pdf,Der Spiegel,rawfile,
12/28/14,NSA Experiment for massive SSL/TLS Decryption,http://www.spiegel.de/media/media-35509.pdf,Der Spiegel,rawfile,
12/28/14,Canadian Document from CES on TLS Trends,http://www.spiegel.de/media/media-35510.pdf,Der Spiegel,rawfile,
12/28/14,Details on how NSA uses the SCARLETFEVER program to attack Scure Sockets Layer (SSL)/Transport Layer Scurity (TLS),http://www.spiegel.de/media/media-35511.pdf,Der Spiegel,rawfile,
